"","strat","strat_sets","sector_id","reef_id","depth_bin_value"
"1",1,1,"GUA_PATI_PT","Forereef","SHAL"
"2",2,NA,"GUA_ACHANG","Forereef","SHAL"
"3",3,1,"GUA_TUMON_BAY","Forereef","SHAL"
"4",4,1,"GUA_PITI_BOMB","Forereef","SHAL"
"5",5,10,"GUA_PATI_PT","Forereef","MIDD"
"6",6,4,"GUA_ACHANG","Forereef","MIDD"
"7",7,4,"GUA_TUMON_BAY","Forereef","MIDD"
"8",8,2,"GUA_PITI_BOMB","Forereef","MIDD"
"9",9,16,"GUA_PATI_PT","Forereef","DEEP"
"10",10,2,"GUA_ACHANG","Forereef","DEEP"
"11",11,4,"GUA_TUMON_BAY","Forereef","DEEP"
"12",12,2,"GUA_PITI_BOMB","Forereef","DEEP"
